"","long","lat","disease"
"914","144.1170","-38.37140","P"
"915","144.1170","-38.37140","P"
"916","144.1170","-38.37120","P"
"917","144.1170","-38.37109","P"
"918","144.1170","-38.37101","P"
"919","144.1168","-38.37090","P"
"920","144.1168","-38.37087","P"
"921","144.1168","-38.37073","P"
"922","144.1168","-38.37062","P"
"923","144.1167","-38.37056","P"
"924","144.1168","-38.37042","P"
"925","144.1169","-38.37045","P"
"926","144.1170","-38.37048","P"
"927","144.1171","-38.37042","P"
"928","144.1173","-38.37059","P"
"929","144.1172","-38.37076","P"
"930","144.1173","-38.37087","P"
"931","144.1174","-38.37092","P"
"932","144.1175","-38.37084","P"
"933","144.1175","-38.37078","P"
"934","144.1176","-38.37073","P"
"935","144.1176","-38.37067","P"
"936","144.1175","-38.37059","P"
"937","144.1175","-38.37051","P"
"938","144.1175","-38.37037","P"
"939","144.1175","-38.37026","P"
"940","144.1175","-38.37015","P"
"941","144.1175","-38.37006","P"
"942","144.1176","-38.37003","P"
"943","144.1177","-38.36998","P"
"944","144.1176","-38.36990","P"
"945","144.1176","-38.36978","P"
"946","144.1176","-38.36965","P"
"947","144.1177","-38.36962","P"
"948","144.1179","-38.36959","P"
"949","144.1181","-38.36962","P"
"950","144.1183","-38.36973","P"
"951","144.1183","-38.36984","P"
"952","144.1184","-38.36992","P"
"953","144.1184","-38.37006","P"
"954","144.1185","-38.37015","P"
"955","144.1185","-38.37031","P"
"956","144.1186","-38.37040","P"
"957","144.1188","-38.37048","P"
"958","144.1188","-38.37067","P"
"959","144.1188","-38.37073","P"
"960","144.1188","-38.37087","P"
"961","144.1188","-38.37092","P"
"962","144.1188","-38.37101","P"
"963","144.1188","-38.37103","P"
"964","144.1186","-38.37106","P"
"965","144.1186","-38.37112","P"
"966","144.1186","-38.37128","P"
"967","144.1188","-38.37140","P"
"968","144.1188","-38.37159","P"
"969","144.1186","-38.37170","P"
"970","144.1185","-38.37181","P"
"971","144.1184","-38.37184","P"
"972","144.1182","-38.37195","P"
"973","144.1181","-38.37201","P"
"974","144.1179","-38.37203","P"
"975","144.1175","-38.37212","P"
